"[how to sort/filter] 
[* = see notes col]
[gray = older info]","is it
aging?",aging mission?,core aging area?,multiple aging diseases?,core aging confs?,"is it
rejuvenation? (y/n)",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage (& link to pipeline),"pipeline image 
[if not clickable, use clin stage link]",Tx or Dx,"categories 
(map to SENS & hallmarks)","diseases/ indications 
[not comprehensive or canonicalized]",species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI,year founded,tot. raised (US$M),$ curr conv rate as of Aug'24,$ curr conv rate (dynamic),raised other curr,pharma partners/ investors,deals $ value (US$M),product names,pubs/ papers,as of (last full row update),date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score (confs wght less),operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,Unnamed: 51,check for all 4 no,updated since Jul 2024?
Amprion,only neuro,yes,yes,yes,yes,no,operating,"amplification of misfolded proteins for sensitive detection in CSF & blood, 1st for α-Syn",commercial,,Dx,proteostasis,"PD, AD",humans,,α-synuclein,CSF,reg Dx,"Russell Lebovitz, Claudio Soto","SD, SF",no,,,,,36.0,2007,$17,,,,,,SAAmplify-ɑSYN,papers,2025-03-24,2019,Breakthrough device designation from FDA in May 2019 for alpha-Synuclein. Not to be confused with the Germany electrical grid company of the same name.,0.73,0.7,0.5,1.0,1.0,1.0,0.5,2.2,1.8,0.3,0.8,1.2,,0,1
Caraway Therapeutics,yes,,yes,,no,yes,acquired*,small molecule therapies for neuro and rare genetic diseases by regulating lysosome,pre-clinical,,Tx,intracell junk,PD,humans,,TRPML1,small molecules,pharma,,,,,,$610,,,2018,$23,,,,,,,,2024-08-12,2024-08-12,"*Acquired by Merck, Nov'23.",0.67,2.2,1.0,0.3,0.5,1.0,0.5,0.0,4.0,1.0,1.0,1.0,,0,1
BYOMass Therapeutics,yes,no,yes,,no,no,operating,selective targeting of submembers of TGF-β superfamily of secreted factors,pre-clinical,,Tx,metabolism,,humans,,,,pharma,Margaret Jackson,Boston,no,,,,,2.0,2017,$6.5,,,,,,,,2024-10-17,2019,Juvenescence sub-company.,0.65,2.2,1.0,0.3,1.0,1.0,0.5,0.4,1.3,1.0,1.0,1.0,,0,1
Gerostate Alpha,yes,yes,,,yes,,operating,pharmaceutical scerening platform to treat aging,pre-clinical,,Tx,broad platform,,humans,,,drugs,pharma,,SF,no,,,,,2.0,2018,$2.1,,,,,,,,2024-10-18,2019,,0.65,1.6,1.0,0.4,1.0,1.0,0.5,0.4,0.7,1.0,1.0,1.0,,0,1
Ponce de Leon Health / Rejuvant,yes,yes,yes,,,,operating,Ca-AKG (alpha ketoglutarate) supplement + vitamins; increased lifespan in model species & reversed an older-gen aging clock in human pilot study,commercial,,Tx,,,humans,1,AKG's targets/MoAs,supplements,nutraceuticals,"Tom Weldon, Brian Kennedy","Jacksonville, FL",no,,,,,9.0,2014,$15.9,,,,,,Rejuvant,2021 human pilot trial,2024-09-04,2019,,0.65,1.1,1.0,0.6,1.0,1.0,0.5,1.4,1.8,1.0,0.3,1.2,,0,1
YouthBio Therapeutics,yes,yes,yes,,yes,yes,operating,tissue/organ-specific partial epigenetic reprogramming gene therapy via Yamanaka factors & new factor discovery,pre-clinical,,Tx,epigenetic,AD,humans,,OSKM,,pharma,"Yuri Deigin, João Pedro de Magalhães",,no,,,,,2.0,2021,unknown,,,,,,,,2024-09-01,2023-03-14,See also March'23 piece: https://longevity.technology/news/meet-the-founder-yuri-deigin/,0.65,0.9,1.0,0.7,1.0,1.0,0.5,0.4,0.0,1.0,1.0,1.0,,0,1
InGeneron,yes,no,yes,no,no,yes,operating,autologous adult stem cell therapy for orthopedic applications,device pivotal trials,,Tx,stem cells / autologous,"RC tears, lower back pain, wrist OA",humans,9,,cell therapy,device,Eckhard Alt,Houston,no,,,,,20.0,2006,$55,,,,,,,papers,2024-09-04,2023-05-29,,0.64,2.1,1.0,0.3,1.0,1.1,2.8,1.9,2.5,1.0,0.3,1.2,,0,1
Altoida,only neuro,yes,yes,yes,no,no,operating,augmented reality (AR) app-based cognitive testing via replicating activities of daily living via measuring cognitive & motor function w/ machine learning,device early clinical,,Dx,app,"AD, other MCI",humans,6,,mobile app,reg Dx (SaMD),Marc Jones,DC,no,,,,,44.0,2016,$25,,,,,,NMI Neuro Motor Index,papers,2024-09-28,2019,,0.63,0.7,0.5,0.9,1.0,1.0,0.0,2.4,2.0,0.3,0.8,1.2,,0,1
Healthspan,yes,yes,yes,yes,no,no,operating,"prescription of available aging interventions, especially for cell senescence, autophagy, & metabolism eg rapamycin, metformin ",commercial,,Tx,access company,,humans,,,"drugs, supplements",vendor w/ in-house MDs,,,,,,,,35.0,2021,,,,,,,,,2024-09-03,2024-08-15,Not to be confused with UK supplement store Healthspan (healthspan.co.uk/).,0.61,0.7,1.0,0.9,1.0,1.0,0.5,2.2,0.0,1.0,0.3,1.0,,0,1
TA Sciences,yes,yes,yes,yes,no,yes,operating,supplement TA-65 to lengethen telomeres by activating telomerase,"commercial,
ph.1 trials",,Tx,telomeres,"vascular function, metabolic disease, AD",humans,7,,supplements,nutraceuticals,Noel Thomas Patton,NYC,no,,,,,15.0,2002,unknown,,,,,,TA-65,,2024-09-03,2020-02-05,Active ingredient of TA-65 may be cycloastragenol.,0.6,0.7,1.0,0.9,1.0,1.0,1.0,1.7,0.0,1.0,0.3,1.0,,0,1
Centaura,yes,yes,no,,no,,operating,"large-scale DNA insertion without cutting the DNA or eliciting an immune response, especially for aging/longevity",pre-clinical,,Tx,,,humans,,,,pharma,,Zurich,no,,,,,11.0,2018,unknown,,,,,,,,2024-10-18,2020-09-01,,0.6,2.0,1.0,0.3,1.0,1.0,0.5,1.5,0.0,1.0,1.0,1.0,,0,1
Dorian Therapeutics,yes,yes,yes,,,,acquired*,senoblockers that act on epigenetic regulators to reverse senescent cell accumulation & stem cell decline for in-vivo & ex-vivo therapy,pre-clinical,,Tx,senescence,,humans,,,small molecules,pharma,Maddalena Adorno,SF,no,,,,,8.0,2018,$0.15,,,,,,,,2025-05-23,2019,Acquired by Altos Labs.,0.56,0.9,1.0,0.6,0.5,1.0,0.5,1.3,0.1,1.0,1.0,1.0,,0,1
Rejuversen aka Rejuveron Senescence Tx,yes,,yes,,no,yes,operating,immune-mediated clearance of senescence cells by disabling a newly discovered immune evasion technique,pre-clinical,,Tx,senescence,,humans,,,,pharma,Manuel Serrano,Barcelona,no,,,,,9.0,2020,unknown,,,,,,,,2024-10-17,2021-05-06,Sub-company of Centanara (formerly called Rejuveron).,0.56,1.9,1.0,0.3,1.0,1.0,0.5,1.4,0.0,1.0,1.0,1.0,,0,1
Pano Therapeutics,yes,yes,yes,no,no,no,operating,small molecule inhibitors of Complex I & indirect modulators cellular energy pathways (biguanides),pre-clinical,,Tx,mitochondria,CKD,humans,,"Complex 1, AMPK",small molecules,pharma,Ben Gibson,SF,no,,,,,2.0,2017,unknown,,,,,,,,2024-09-07,2019,"Not to be confused with 2 similarly named bio/pharma companies: Oxford, UK based Panos Therapeutics nor with Pano.com, an SF area biotech/pharma incubator.",0.56,0.9,1.0,0.6,1.0,1.0,0.5,0.4,0.0,1.0,1.0,1.0,,0,1
Nuchido / Time+,yes,yes,yes,,yes,no,operating,NAD+ supplement that's isn't an NAD precursor but rather regualtes processes that cause NAD decline: specifically activates NAMPT & inhibits CD38,commercial,,Tx,mitochondria / NAD+,,humans,,"NAMPT, CD38",supplements,nutraceuticals,Nichola Conlon,"Newcastle, UK",no,,,,,8.0,2017,$2.94,,,,,,Time+,2 papers at bottom,2024-09-04,2019,"List of ingredients. 
Webinar on clinical trial results.",0.56,0.8,1.0,0.7,1.0,1.0,0.5,1.3,0.9,1.0,0.3,1.2,,0,1
Mitokinin,only neuro,,yes,,yes,,acquired*,"induce mitophagy via PINK1, first for PD",pre-clinical,,Tx,mitochondria,PD,humans,,PINK1,small molecules,pharma,Nicholas Hertz,SF,no,,,$655,,,2017,,,,,,,,"preprints: 2024, 2023",2024-09-07,2019,"*Acquired by AbbVie for $110M plus $545M in potential future milestone payments, as of 2023.",0.54,1.4,0.5,0.4,0.5,1.0,0.5,0.0,4.0,1.0,1.0,1.2,,0,1
Cognito Therapeutics,only neuro,yes,,yes,no,no,operating,1hr/day neuro-stimulation of gamma wave activity via gamma wave activity with visual & auditory stimulation via a headset,device early clinical,,Tx,,"AD, PD, MS",humans,6,,audio-visual stimulation,device,Christian Howell,Boston,no,,,,,52.0,2016,$217,,,,,,,papers,2024-09-27,2024-08-15,,0.52,0.9,0.5,0.6,1.0,1.1,0.0,2.5,3.3,1.0,0.3,1.2,,0,1
Yuva Biosciences,yes,yes,yes,no,no,no,operating,mitochondrial science cosmeceuticals for hair loss & skin aging; commmercialization via partnerships; pharma programs eventually but none listed yet,commercial,,Tx,mitochondria,"hair loss, wrinkles",humans,,,topical,cosmetic,"Greg Schmergel, Keshav K. Singh","Birmingham, AL",no,,,,,7.0,2019,$13,,,,,,,,2024-09-07,2019,"Company originially inspired by founder Singh's research in which mtDNA depleter mice (POLG1 transgene) showed increased aging (hair loss, skin, etc.) that reversed when transgene turned off.",0.5,0.8,1.0,0.6,1.0,1.0,0.5,1.2,1.6,1.0,0.3,1.0,,0,1
Mitobridge,yes,,yes,,,,acquired*,"therapeutics to improve mitochondria, lead programs target modulation of PPARδ",ph.2 trials,,Tx,mitochondria,"AKI, DMD",humans,9 (2 + 7),PPARδ,small molecules,pharma,,Boston,no,,,,,,2013,$5.2,,,,,,,,2024-08-02,2021-05-05,"*Acquired by Astellas in 2018. As of 2023 still evidence of Mitobridge projects ongoing, eg here & this partnership.",0.47,1.6,1.0,0.3,0.5,1.0,2.0,0.0,1.1,1.0,1.0,1.0,,0,1
Oncosence,yes,no*,yes,,no,yes,operating,selectively induce cancer cells to turn senescent & also kill senescet cells,pre-clinical,,Tx,"genomic, senescence",,humans,,,,pharma,Rolf Jan Rutten,Netherlands,no,,,,,3.0,2019,unknown,,,,,,,,2024-09-02,2024-08-15,"*Homepage makes it clear that cancer is the focus,. despite a mention of longevity.",0.35,1.2,1.0,0.3,1.0,1.0,0.5,0.7,0.0,1.0,1.0,1.0,,0,1
NOVOS,yes,yes,,,yes,no,operating,longevity supplements & tests,commercial,,"Tx, Dx",,,humans,,,supplements,nutraceuticals,Chris Mirabile,NYC,no,,,,,27.0,2018,$3.62,,,,,,,,2024-10-19,2024-08-15,,0.35,0.9,1.0,0.4,1.0,1.0,0.5,2.0,1.0,1.0,0.3,1.0,,0,1
Mitochem Therapeutics,only neuro*,no,yes,no,no,,operating,"class of small molecules designed to treat neurodegeneration by protecting mitochondrial homeostasis, 1st for eye diseases",pre-clinical,,Tx,mitochondria,"RP, dAMD, glaucoma",humans,,,small molecules,pharma,Michael Voevodsky,"Charleston, SC",no,,,,,4.0,2011,$3.7,,,,,,,,2024-09-10,2024-08-15,"*Focus on eye diseases initially is pretty narrow, with little info on mechanism of action currently made public, but Ichor invested & website says appoarch is general enough to help combat multiple types of stress/dysfunction, so including here for now. 
Ichor sub-company.",0.35,1.2,0.5,0.3,1.0,1.0,0.5,0.9,1.0,1.0,1.0,1.0,,0,1
Clock.bio,yes,,,,,,operating,study rejuvenation in human iPSCs by force-aging them to understand rejuvenation & develop therapies,pre-clinical,,Tx,epigenetic,,humans,,,,pharma?,,"Cambridge, UK",no,,,,,11.0,2020,$10,,,,,,,,2023-09-01,2023-09-01,"""Company’s mission is to extend health span by 20 years based on biomarkers of aging in a Phase 3 trial by the end of this decade""",0.35,3.5,1.0,0.1,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.0,,0,0
Animal Biosciences,yes,yes,yes,,no,yes,operating,healthy longevity for dogs (maybe pets more broadly later) focused on cell senescence & NAD+,vet commercial,,Tx,"senescence, mitochondria / NAD+",cognitive,dogs,,,supplements,nutraceuticals,"Nick Sinclair, David Sinclair",Boston,no,,,,,3.0,2017,$2.3,,,,,,LeapYears,2024 paper,2024-08-20,2019,Paper linked to the left reports positive results from clinical trial.,0.35,0.6,1.0,0.6,1.0,1.0,0.5,0.7,0.7,1.0,0.3,1.2,,0,1
Generation Lab,yes,yes,yes,yes,,no,operating,"DTC systems methylation clock based on epigenetic noise for 19 organs/systems, plus recommendations",commercial,,Dx,clocks,,humans,,,mail order cheek swab,unreg test,"Alina Rui Su, Michael Suswal, Irina Conboy",SF,no,,,,,12.0,2023,$11,,,,,,,papers near bottom,2024-07-14,2024-02-10,George Church also involved as an advisor.,0.32,0.4,1.0,0.9,1.0,1.0,0.5,1.5,1.5,0.3,0.3,1.2,,0,1
Cat Health Company,yes,yes,,,yes,,operating,"longevity for cats, ""more details coming soon"" as of Oct'24",pre-clinical,,Tx,,,cats,,,,veterinary,,,,,,,,2.0,2024,$1.7,,,,,,,,2024-10-22,2024-08-15,,0.31,0.8,1.0,0.4,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,,0,1
Napa Therapeutics,yes,yes,yes,,no,no,operating?*,increase NAD+ via CD38 inhibition; joint venture of Juvenescence & Buck Institute,pre-clinical,,Tx,mitochondria / NAD+,,humans,,CD38,small molecules,pharma,,SF,no,,,,,3.0,2018,$3.0,,,,,,,,2024-09-07,2019,"Juvenescence sub-company. 
*Independent website not responding as of Aug'24 but still linked from Juvesencence website & LinkedIn company profile page.",0.31,0.5,1.0,0.6,0.3,1.0,0.5,0.7,0.9,1.0,1.0,1.0,,0,1
1E Therapeutics,borderline*,no,,,no,yes,operating,"RNA-silencing programmable oligonucleotide therapeutics for oncology, agingDs, more; antisense oligonucleotide–based senolytics",pre-clinical,,Tx,senescence,cancer,humans,,,oligonucleotides,pharma,,Israel,no,,,,,48.0,2020,$120,,,,,,,,2024-08-04,2019-11-13,"*Launched as Hanako Bio w/ senescent cells focus then renamed 1E Tx. Website unclear on focus area since 2021 $120M round. Tentatively qualifies as aging based on: (1) listed as senolytics in 2020 Nature ""Send in the Senolytics"" article & (2) seed raise article notes focus on ""oncology, age-related diseases, immunology"", but since age-related Ds not highlighteed on site, re-evaluate once company clarifies focus.",0.29,2.9,0.5,0.1,1.0,1.0,0.5,2.4,3.0,1.0,1.0,1.0,,0,1
Luminova Biotech,yes,yes,yes,,yes,no,starting?,gene therapy to allow conversion of light energy into chemical energy in mitochondria via a light-activated proton pump (extended lifespan in c.elegans),pre-clinical,,Tx,mitochondria,,humans,,,gene therapy,pharma,Shahaf Peleg,,no,,,,,4.0,2023,unknown,,,,,,,paper,2024-09-12,2024-09-12,Website also mentions agricultural applications.,0.29,0.4,1.0,0.7,0.3,1.0,0.5,0.9,0.0,1.0,1.0,1.2,,0,1
GlycanAge,yes,yes,yes,,yes,no,operating,"DTC aging clock based on glycans, sugar molecules that surround & modify proteins, plus advice based on results",commercial,,Dx,,,humans,,,blood test,unreg test,Gordan Lauc,"Croatia, London",no,,,,,39.0,2019,$4.7,,,,,,,papers,2024-09-28,2020-05-04,Also have a menopause test.,0.27,0.4,1.0,0.7,1.0,1.0,0.5,2.3,1.1,0.3,0.3,1.2,,0,1
Life Length,yes,yes,yes,,no,no,operating,"telomere testing DTC & for drs & as CRO, also for cancer diagnostics",commercial,,Dx,telomeres,cancer,humans,,,,unreg test,,"Madrid, Spain",no,,,,,52.0,2010,$10.1,,,,,,,papers,2024-09-27,2020-02-05,,0.27,0.4,1.0,0.6,1.0,1.0,0.5,2.5,1.5,0.3,0.3,1.2,,0,1
NeuroTrack,only neuro,yes,,,no,no,operating,"eye-tracking cognitive (esp. memory) 3min app-based diagnostic test for cognitive decline, for early detection of AD & other dementias",commercial?,,Dx,app,MCI,humans,5,,mobile app,reg Dx?,Elli Kaplan,SF,no,,,,,36.0,2012,$68,,,,,,Imprint Memory Assessment,papers,2024-10-18,2019,,0.26,0.9,0.5,0.3,1.0,1.0,0.5,2.2,2.6,0.3,0.8,1.2,,0,1
PharmatrophiX,only neuro,,,no,no,,operating*,"small moleculels for neurodegenerative diseases targeting neurotrophin repceptors, esp. p75",ph.2 trials,,Tx,,"AD, neuroDs",humans,1,"p75, TrkB, TrkC",small molecules,pharma,Anne Chun Longo,SF,no,,,,,1.0,2005,$11,,,,,,,related,2024-10-18,2019,*Operates as a virtual company via contract work.,0.21,2.1,0.5,0.1,1.0,1.0,2.0,0.0,1.5,1.0,1.0,1.2,,0,1
Decode Age,borderline*,yes,yes,,no,no,operating,longevity supplements; claimed first longevity company from India,commercial,,Tx,,,humans,,,supplements,nutraceuticals,,India,no,,,,,42.0,2021,,,,,,,,,2024-09-01,2024-08-15,*Borderline for really being an aging biotech company. Mostly seems like just a supplement seller with longevity marketing but prides itself on being the first longevity company from India & longevity focus appears genuine.,0.21,0.4,0.5,0.6,1.0,1.0,0.5,2.3,0.0,1.0,0.3,1.0,,0,1
AVEA,borderline*,yes,,,yes,no,operating,longevity supplements; Maximon sub-company,commercial,,Tx,,,humans,,,supplements,nutraceuticals,,Berlin,no,,,,,33.0,2021,$7.8,,,,,,,,2024-09-01,2024-08-15,*Borderline for really being an aging biotech company. Mostly seems like just a supplement seller with longevity marketing but is also a Maximon sub-company & has proper top people in the field as advisors. More diverse product line than the NAD+ supplement companies but less published science coming from the company itself & no clinical trials.,0.2,0.5,0.5,0.4,1.0,1.0,0.5,2.2,1.3,1.0,0.3,1.0,,0,1
SMSbiotech,yes,,,,,,operating,"allogeneic adult Small Mobile Stem cells (SMS),  manufactured ECM",pre-clinical,,Tx,stem cells,"COPD, wound healing",humans,,,cell therapy,pharma,,SD,no,,,,,10.0,2015,unknown,,,,,,,,2023-06-01,2023-06-01,,0.19,1.9,1.0,0.1,1.0,1.0,0.5,1.4,0.0,1.0,1.0,1.0,,0,0
Edifice Health,yes,yes,yes,,no,no,operating,DTC biomarkers of systemic chronic inflammation based on Stanford 1000 immunomes project & AI,commercial,,Dx,"inflammation, clocks",,humans,1,,blood test,unreg test,David Goldberg,SF,no,,,,,5.0,2018,$14,,,,,,iAge,papers,2024-10-18,2019,"Shopping cart link on website broken as of Oct'24. 
Formerly called iuve.",0.19,0.3,1.0,0.6,1.0,1.0,0.5,1.0,1.7,0.3,0.3,1.2,,0,1
Unity Biotechnology,yes,yes,yes,yes,yes,yes,defunct*,"treat aging, 1st w/ senolytics, esp for eye diseases (knee OA failed); also other programs inc. VEGF & klotho** (partnered)",ph.2 trials,,Tx,"senescence, klotho","eyeDs, neuroDs",humans,9,"Bcl-xL, VEGF, klotho","small molecules, proteins",pharma,Anirvan Ghosh,SF,no,,,,,23.0,2011,$291,,,,,,,papers,2024-07-27,2019,"*Come homepage says ""The Company is no longer operating"" as of Oct'25. Prior: all staff laid off. Had 1st clinical stage senotherapeutic program. Originally for knee OA; failed in phase 2; see coverage from LEAF, FightAging.org, and/or Longevity.Technology. Had shifted to eye indications. **Not clear if klotho program continues (eg 2022 article says not)  & Jocasta doesn't seem to have a website as of Jul'24.",0.18,0.2,1.0,1.0,0.0,1.1,2.2,1.9,3.5,1.0,1.0,1.2,,0,1
BioViva,yes,,,,,,operating,"AAV & CMV gene therapy to lengthen healthy lifespan, 1st for AD by restoring microglia & astrocyte function",pre-clinical,,Tx,,AD,humans,,,gene therapy,pharma,,Seattle,no,,,,,5.0,2014,$0.3,,,,,,,,2024-01-19,2019,"Recent 2024 Jan article. In the past the company has had different focus & pivoted. Previously sold tests to consumers & partnered with IHS for med tourism. CEO Parrish underwent out-of-USA gene therapy to extend her telomeres w/ hTERT and for myostatin inhibition then claimed positive results, back when company focus was more directly telomere extension therapy. See also https://en.wikipedia.org/wiki/BioViva",0.16,1.6,1.0,0.1,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0,,0,0
Focal Biosciences,yes,,,,,,operating,"discovery platform for small molecule modulators of cell reprogramming based on mechanobiology, imaging, ML",pre-clinical,,Tx,epigenetic,,humans,,,small molecules,pharma,,Switzerland,no,,,,,4.0,2022,unknown,,,,,,,paper from founding lab,2023-07-20,2023-07-20,Early company profile: https://longevity.technology/news/focal-biosciences-new-cellular-reprogramming-startup-unveiled/,0.16,1.6,1.0,0.1,1.0,1.0,0.5,0.9,0.0,1.0,1.0,1.2,,0,0
Sapere Bio,yes,yes,yes,yes,yes,no,operating,"blood test for cell senescence, validated in clinical trials, sold only to longevity doctors/clinics",commercial,,Dx,senescence,"CVD, cancer",humans,8,p16,blood test,unreg test,Natalia Mitin,"Raleigh- Durham, NC",no,,,,,6.0,2013,$0.5,,,,,,SapereX,,2025-03-24,2025-03-09,Previously called HealthSpan Diagnostics.,0.16,0.2,1.0,1.0,1.0,1.0,0.5,1.1,0.3,0.3,0.3,1.0,,0,1
Juvenon,borderline*,yes,yes,,no,no,operating,Bruce Ames founded supplements company w/ +5yr healthspan for millions of people mission,commercial,,Tx,,,humans,,,supplements,nutraceuticals,,"Reno, NV",no,,,,,10.0,1999,,,,,,,,,2024-09-01,2024-08-15,"*Borderline for really being an aging biotech company. Mostly seems like just a supplement seller with longevity marketing, but was founded by Bruce Ames out of Berkeley with solid underlying science & mission is healthspan for the masses.",0.14,0.2,0.5,0.6,1.0,1.0,0.5,1.4,0.0,1.0,0.3,1.0,,0,1
Humanity Inc,yes,yes,no,no,yes,no,operating,aging-focused health/wellness app that integrates data sources & estimates rate of aging,commercial,,"Dx, recs",app,,humans,,,software,unreg app,,London,no,,,,,39.0,2019,$5.0,,,,,,,,2024-10-03,2019,,0.13,0.3,1.0,0.4,1.0,1.0,0.5,2.3,1.1,0.3,0.3,1.0,,0,1
Cellergy Therapeutics,yes,yes,yes,yes,,yes,starting,"allogeneic mitochondrial transplant therapy: big expansion of primary source cells enabling large-scale GMP manufacturing for repeated, systemic dosing",pre-clinical,,Tx,mitochondria,"PMD, muscleDs, neuroDs, metabolicDs",humans,,,cell/organelle therapy,pharma,Rachel Diamant,Israel,no,,,,,1.0,2024,unknown,,,,,,,,2024-09-11,2024-07-16,Not to be confused with Cellergy Pharma (CAR-T for allergies) or Cellergy.net (fuel cells).,0.12,0.1,1.0,0.9,0.3,1.1,0.6,0.0,0.0,1.0,1.0,1.0,,0,1
"Turn
Biotechnologies",yes,yes,yes,yes,yes,yes,defunct,mRNA epigenetic reprogramming to restore capabilities lost with age via OSKMLN,pre-clinical,,Tx,epigenetic,"skin conditions, OA, glaucoma, frailty/sarcopenia",humans,,OSKMLN,RNA,pharma,"Anja Krammer, Vittorio Sebastiano",SF,no,,,,,33.0,2018,$30.1,,,,,,,key paper*,2024-08-10,2019,"*OSKMLN shown to reverse 8 of the 9 hallmarks of aging, all except telomeres.",0.12,0.1,1.0,1.0,0.0,1.1,0.6,2.2,2.1,1.0,1.0,1.2,,0,1
Retrotope,yes,yes,yes,yes,no,no,defunct?*,"isotopically stabilized synthetic versions of PUFAs (polyunsaturated fatty acids), i.e. deuterated PUFAs, to combat LPO (lipid peroxidation)",ph.2 trials,,Tx,mitochondria,"INAD, FA, ALS, PSP, HD, SCA",humans,7,,lipids,pharma,,SF,no,,,,,2.0,2006,$83,,,,,,,papers,2024-08-03,2019,"*Bankrupt in 2022 (assets sold). Website operating but last publications end in 2021 & science page says ""We expect 2021 to be a potentially transformational year for Retrotope"".",0.12,0.1,1.0,0.9,0.0,1.1,2.2,0.4,2.8,1.0,1.0,1.2,,0,1
NADMED,yes,,yes,,yes,no,operating,"accurate NAD+ measurement (4 types) & glutathione from blood, for clinics & researchers, based on cyclic enzymatic reaction and colorimetric quantification",commercial,,Dx,mitochondria / NAD+,,humans,,,blood tests,unreg test,Jari Närhi,"Helsinki, Finland",no,,,,,13.0,2022,$4.5,,,,,,,,2024-09-11,2024-08-15,Expanding from Europe to the US market as of 2024.,0.1,0.3,1.0,0.4,1.0,1.0,0.5,1.6,1.1,0.3,0.3,1.0,,0,1
NeuroAge Therapeutics,only neuro,yes,,,yes,no,operating,neuro aging tests to power screening platform for neuro aging drug discovery,"pre-clinical, commercial",,"Dx, Tx",app,,humans,,,,,Christin Glorioso,SF,no,,,,,9.0,2022,$0.20,,,,,,,,2025-03-23,2023-05-29,,0.1,0.2,0.5,0.4,1.0,1.0,0.5,1.4,0.1,1.0,0.3,1.0,,0,1
Longevica,yes,yes,,,,,operating,commercialize results from huge (1000 compounds x 20k+ mice) lifespan screen finding 16-22% extension,pre-commercial,,Tx,,,humans,,,,,,"Princeton, NJ",no,,,,,2.0,2009,$2.7,,,,,,,,2021-05-08,2021-05-08,,0.09,0.3,1.0,0.3,1.0,1.0,0.0,0.4,0.8,1.0,0.3,1.0,,0,0
Powerhouse Biology,yes,yes,yes,,yes,yes,starting?*,move the 13 mitochondria-only genes to the nuclear genome (allotopic expression),pre-clinical,,Tx,mitochondria,,humans,,all 13 mito genes,gene therapy,pharma,Mariëlle van Kooten,,no,,,,,1.0,2023,unknown,,,,,,,,2024-09-10,2024-08-15,"*Only employee's LinkedIn page doesn't list company under experience & person is also a university postdoc, as of Sep'24.
Same goal as MitoSENS.",0.09,0.1,1.0,0.7,0.3,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,1
Fission Pharma,yes,yes,yes,,,,starting?*,"DRP1 inhibitors to block mitochondria fission for a variety of inflammatory diseases (more details via VitaDAO, inc that leads are P110 mimetics)",pre-clinical,,Tx,mitochondria,"Sepsis, AMD, IBD, ",humans,,DRP1,small molecules,pharma,Luis Rios,,no,,,,,1.0,2023,unknown,,,,,,,,2024-09-10,2024-08-15,"*Only employee's LinkedIn page says only part-time at this company but full-time at a stealth mode AI startup founded more recently, so unclear how much work this company is getting as of Sep'24.",0.08,0.1,1.0,0.6,0.3,1.1,0.6,0.0,0.0,1.0,1.0,1.0,,0,1
Maximon,yes,,,,,,operating,company building umbrella company,,,Tx,umbrella company,,humans,,,,,,Zurich,no,,,,,22.0,2021,$7.6,1.15,1.26,CHf6.0,,,,,2023-05-27,2023-05-29,,0.08,0.8,1.0,0.1,1.0,1.0,0.0,1.9,1.3,1.0,0.3,1.0,,0,0
TNF Pharmaceuticals (was MyMD),yes,yes,yes,no,no,no,defunct* as aging corp,small molecule TNF-α inhibitor and synthetic CBD analog,ph.2 trials,,Tx,inflammation,"sarcopenia, RA, epilepsy",humans,3,TNF-α,small molecules,pharma,,"Baltimore, MA",yes,delisted as TNFA,,,6.0,10.0,2014,$22,,,,,,,papers,2024-07-27,2023-06-01,"Raising more private money, new $14M w/ room for more as of May'24. Positive phase 2 data reported summer'23.",0.08,0.1,1.0,0.6,0.0,1.1,2.2,1.4,1.9,1.0,1.0,1.2,,0,1
"IHS (Integrated
Health Systems) & IHS Pets",yes,yes,yes,yes,no,yes,operating?*,"access to gene therapy & other advanced tx (cell tx, regen med): telomerase for aging, klotho for kidneys, PGC-1α for mitochondria, follistatin for muscle",commercial,,Tx,access company,,"humans, dogs, cats, horses",,,gene therapy,medical tourism*,,LA,no,,,,,4.0,?,unknown,,,,,,,,2024-10-18,2019,*Operates as a virtual company via contract work.,0.08,0.1,1.0,0.9,0.3,1.0,0.5,0.9,0.0,1.0,0.3,1.0,,0,1
Genome Protection,yes,yes,yes,no,yes,no,defunct*,"entolimod & other drugs for anti-aging & cancer, esp. by protecting genome, esp. against transposons",ph.2 trials,,Tx,genomic,various cancers,humans,3,,small molecules,pharma,,"Buffalo, NY",no,,,,,5.0,2018,$30,,,,,,entolimod,,2024-08-12,2019,"*Website not responding since spring 2023, though LinkedIn still says ~5 people. (Old new article says also started with a portfolio of other anti-aging and anti-cancer drugs from parent Everon Biosciences.)",0.07,0.1,1.0,0.7,0.0,1.0,2.0,1.0,2.1,1.0,1.0,1.0,,0,1
